iter	Logloss
0	0.6838117025
1	0.6734444239
2	0.6628016662
3	0.6534652969
4	0.6448214576
5	0.636432062
6	0.6270239482
7	0.6169132905
8	0.6088636672
9	0.6008525043
10	0.5925041165
11	0.5831717114
12	0.575348885
13	0.5674371343
14	0.5589683149
15	0.5510958246
16	0.5437247279
17	0.5361939865
18	0.5296806081
19	0.5246698211
20	0.5189614832
21	0.512148859
22	0.5046686931
23	0.4970309375
24	0.4924281402
25	0.48779244
26	0.481217381
27	0.4750482479
28	0.4699194371
29	0.464596172
30	0.4594955919
31	0.4539161498
32	0.4499434855
33	0.4458167732
34	0.4395783253
35	0.4343409293
36	0.4290519504
37	0.4231513135
38	0.4184120058
39	0.4140137357
40	0.4107067121
41	0.4068733402
42	0.4017579807
43	0.3962419729
44	0.3924496113
45	0.3882687482
46	0.384806263
47	0.3815114207
48	0.377259481
49	0.3733276229
50	0.3696415296
51	0.3656602503
52	0.362904854
53	0.3585365838
54	0.3550828353
55	0.3522349405
56	0.3491277823
57	0.3453609588
58	0.3416485229
59	0.3376549378
60	0.3352145362
61	0.332020035
62	0.328835544
63	0.3262296715
64	0.3244980402
65	0.3216109121
66	0.3186738507
67	0.3162145874
68	0.3137029768
69	0.3115619718
70	0.3091006405
71	0.3066826448
72	0.3049862898
73	0.3022148183
74	0.3000116867
75	0.2975529916
76	0.2956718351
77	0.2936516497
78	0.2913591127
79	0.288945501
80	0.2863204787
81	0.2838946904
82	0.2820458595
83	0.2805222986
84	0.2780994443
85	0.2761423316
86	0.2738820288
87	0.271291129
88	0.2696418554
89	0.2686961732
90	0.2669503122
91	0.2651647116
92	0.2634156482
93	0.2620333797
94	0.2606058624
95	0.2586504251
96	0.256892798
97	0.255093889
98	0.2533118531
99	0.2516091831
100	0.2500048215
101	0.2488954566
102	0.247611632
103	0.2461648215
104	0.2452862786
105	0.2437989089
106	0.2423885129
107	0.2408205638
108	0.2393138852
109	0.2375029407
110	0.2363233446
111	0.2346533835
112	0.2333176944
113	0.2321559388
114	0.2312799033
115	0.2297301376
116	0.2279311265
117	0.2267310935
118	0.2248502396
119	0.2234528173
120	0.2226306921
121	0.2215666275
122	0.2203087616
123	0.2190949221
124	0.2181576558
125	0.2172454766
126	0.2162956288
127	0.2150095719
128	0.213748279
129	0.2129617111
130	0.2123357693
131	0.2116886642
132	0.2103936858
133	0.2092464081
134	0.2085007267
135	0.2076794385
136	0.2067999908
137	0.2057586963
138	0.2046776322
139	0.2036102624
140	0.2025468044
141	0.2018742361
142	0.2006297138
143	0.1996521743
144	0.1988673956
145	0.198092597
146	0.1969550419
147	0.1963748919
148	0.1955806043
149	0.1947200589
150	0.1940222741
151	0.1931317201
152	0.1926743394
153	0.1918001119
154	0.1910533701
155	0.190565977
156	0.1895689763
157	0.1885694431
158	0.1876250534
159	0.1865699523
160	0.1857513416
161	0.1852166347
162	0.1845982654
163	0.1835606488
164	0.1830213797
165	0.1823531006
166	0.1816526879
167	0.1810530776
168	0.180445486
169	0.1792757471
170	0.1787351854
171	0.1777548548
172	0.1772216306
173	0.1766787515
174	0.1759675101
175	0.1752461609
176	0.1747006125
177	0.1740451851
178	0.1735284569
179	0.1731955257
180	0.1725849063
181	0.1715542973
182	0.170892691
183	0.1698803118
184	0.16924062
185	0.1684776655
186	0.1679903943
187	0.1674852693
188	0.1671186402
189	0.1665885049
190	0.1661223189
191	0.1656182673
192	0.1650529507
193	0.1644604873
194	0.164140337
195	0.1636224015
196	0.1632694329
197	0.1624602581
198	0.1619147353
199	0.1614197125
200	0.1608023378
201	0.1602707086
202	0.1598996449
203	0.1594840134
204	0.1591693135
205	0.1586416976
206	0.1583180245
207	0.1580200683
208	0.1576092679
209	0.1573310377
210	0.1567438397
211	0.1562032684
212	0.1558835868
213	0.1554296025
214	0.154914955
215	0.1545659526
216	0.1541915653
217	0.1537521951
218	0.1534035631
219	0.1529493757
220	0.1524907018
221	0.152248258
222	0.151899494
223	0.1516024965
224	0.1509775209
225	0.1505470684
226	0.1500344273
227	0.1496638033
228	0.1493737078
229	0.1490280967
230	0.1486624913
231	0.1483181319
232	0.1479699379
233	0.1476615041
234	0.147306729
235	0.1469490704
236	0.1466381806
237	0.1462895587
238	0.1458251542
239	0.1455650784
240	0.1453743352
241	0.1450005683
242	0.1445938639
243	0.1443228943
244	0.1441314353
245	0.14388356
246	0.1435263029
247	0.1432458875
248	0.1426943324
249	0.1422028129
250	0.1418588002
251	0.1415306729
252	0.141104443
